"year","SVP","Kon","FDP","CVP","Demo","SP","LDU","CSP","GP","Ind","BDP","Lib","M","Oth","Seat","Code"
1963,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1964,0,0,0.43,0.43,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1965,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1966,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1967,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1968,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1969,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1970,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1971,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1972,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1973,0,0,0.14,0.71,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1974,0,0,0.14,0.71,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1975,0,0,0.14,0.71,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1976,0,0,0.14,0.71,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1977,0,0,0.14,0.71,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1978,0,0,0.14,0.71,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1979,0,0,0.14,0.71,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1980,0,0,0.14,0.71,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1981,0,0,0.14,0.57,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1982,0,0,0.14,0.57,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1983,0,0,0.14,0.57,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1984,0,0,0.14,0.57,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1985,0,0,0.14,0.57,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1986,0,0,0.29,0.43,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1987,0,0,0.29,0.43,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1988,0,0,0.29,0.43,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1989,0,0,0.29,0.43,0,0,0,0.14,0,0.14,0,0,0,0,7,"OW"
1990,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1991,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1992,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1993,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1994,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1995,0,0,0.29,0.57,0,0,0,0.14,0,0,0,0,0,0,7,"OW"
1996,0,0,0.29,0.43,0,0,0,0.29,0,0,0,0,0,0,7,"OW"
1997,0,0,0.29,0.43,0,0,0,0.29,0,0,0,0,0,0,7,"OW"
1998,0,0,0.29,0.43,0,0,0,0.29,0,0,0,0,0,0,7,"OW"
1999,0,0,0.29,0.43,0,0,0,0.29,0,0,0,0,0,0,7,"OW"
2000,0,0,0.29,0.43,0,0,0,0.29,0,0,0,0,0,0,7,"OW"
2001,0,0,0.29,0.43,0,0,0,0.29,0,0,0,0,0,0,7,"OW"
2002,0,0,0.29,0.43,0,0,0,0.29,0,0,0,0,0,0,7,"OW"
2003,0,0,0.2,0.4,0,0,0,0.4,0,0,0,0,0,0,5,"OW"
2004,0,0,0.2,0.4,0,0,0,0.4,0,0,0,0,0,0,5,"OW"
2005,0,0,0.2,0.4,0,0,0,0.4,0,0,0,0,0,0,5,"OW"
2006,0,0,0.2,0.4,0,0,0,0.4,0,0,0,0,0,0,5,"OW"
2007,0,0,0.2,0.4,0,0,0,0.4,0,0,0,0,0,0,5,"OW"
2008,0,0,0.2,0.4,0,0,0,0.4,0,0,0,0,0,0,5,"OW"
2009,0,0,0.2,0.4,0,0,0,0.4,0,0,0,0,0,0,5,"OW"
2010,0,0,0.4,0.4,0,0,0,0.2,0,0,0,0,0,0,5,"OW"
2011,0,0,0.4,0.4,0,0,0,0.2,0,0,0,0,0,0,5,"OW"
2012,0,0,0.4,0.4,0,0,0,0.2,0,0,0,0,0,0,5,"OW"
2013,0,0,0.4,0.4,0,0,0,0.2,0,0,0,0,0,0,5,"OW"
2014,0,0,0.4,0.4,0,0,0,0.2,0,0,0,0,0,0,5,"OW"
2015,0,0,0.4,0.4,0,0,0,0.2,0,0,0,0,0,0,5,"OW"
2016,0,0,0.4,0.2,0,0,0,0.2,0,0,0,0,0.2,0,5,"OW"
2017,0,0,0.2,0.2,0,0,0,0.2,0,0.2,0,0,0.2,0,5,"OW"
2018,0,0,0.2,0.2,0,0,0,0.2,0,0.2,0,0,0.2,0,5,"OW"
2019,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0.2,0,5,"OW"
2020,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0.2,0,5,"OW"
2021,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0.2,0,5,"OW"
2022,0.2,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0.2,0,5,"OW"
2023,0.2,0,0,0,0,0,0,0.2,0,0.2,0,0,0.4,0,5,"OW"
2024,0.2,0,0,0,0,0,0,0.2,0,0.2,0,0,0.4,0,5,"OW"
1850,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1851,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1852,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1853,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1854,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1855,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1856,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,10,"NW"
1857,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,10,"NW"
1858,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,10,"NW"
1859,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,10,"NW"
1860,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,10,"NW"
1861,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,10,"NW"
1862,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,10,"NW"
1863,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1864,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1865,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1866,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1867,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1868,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1869,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1870,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1871,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1872,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1873,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,10,"NW"
1874,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,10,"NW"
1875,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,10,"NW"
1876,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,10,"NW"
1877,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1878,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1879,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1880,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1881,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1882,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1883,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1884,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1885,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1886,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1887,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1888,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1889,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1890,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1891,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1892,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1893,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1894,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1895,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1896,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1897,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1898,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1899,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1900,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1901,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1902,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1903,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1904,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1905,0,0,0.55,0.45,0,0,0,0,0,0,0,0,0,0,11,"NW"
1906,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1907,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1908,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1909,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1910,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1911,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1912,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1913,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1914,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1915,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1916,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1917,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1918,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1919,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1920,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1921,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1922,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1923,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1924,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1925,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1926,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1927,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1928,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1929,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1930,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1931,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1932,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1933,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1934,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1935,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1936,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1937,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1938,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1939,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1940,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1941,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1942,0,0,0.09,0.91,0,0,0,0,0,0,0,0,0,0,11,"NW"
1943,0,0,0.18,0.82,0,0,0,0,0,0,0,0,0,0,11,"NW"
1944,0,0,0.18,0.82,0,0,0,0,0,0,0,0,0,0,11,"NW"
1945,0,0,0.18,0.82,0,0,0,0,0,0,0,0,0,0,11,"NW"
1946,0,0,0.27,0.73,0,0,0,0,0,0,0,0,0,0,11,"NW"
1947,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1948,0,0,0.36,0.64,0,0,0,0,0,0,0,0,0,0,11,"NW"
1949,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1950,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1951,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1952,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1953,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1954,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1955,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1956,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1957,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,11,"NW"
1958,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1959,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1960,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1961,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1962,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1963,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1964,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1965,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1966,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1967,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1968,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1969,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1970,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1971,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1972,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1973,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1974,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1975,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1976,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1977,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1978,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1979,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1980,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1981,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1982,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1983,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1984,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1985,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1986,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1987,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1988,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1989,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1990,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1991,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1992,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1993,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1994,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1995,0,0,0.44,0.56,0,0,0,0,0,0,0,0,0,0,9,"NW"
1996,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1997,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,9,"NW"
1998,0,0,0.29,0.57,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
1999,0,0,0.29,0.57,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2000,0,0,0.29,0.57,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2001,0,0,0.29,0.57,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2002,0,0,0.43,0.43,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2003,0,0,0.43,0.43,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2004,0,0,0.43,0.43,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2005,0,0,0.43,0.43,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2006,0,0,0.43,0.43,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2007,0,0,0.43,0.43,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2008,0.14,0,0.43,0.29,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2009,0.14,0,0.43,0.29,0,0,0,0,0.14,0,0,0,0,0,7,"NW"
2010,0.29,0,0.43,0.29,0,0,0,0,0,0,0,0,0,0,7,"NW"
2011,0.29,0,0.43,0.29,0,0,0,0,0,0,0,0,0,0,7,"NW"
2012,0.29,0,0.43,0.29,0,0,0,0,0,0,0,0,0,0,7,"NW"
2013,0.29,0,0.43,0.29,0,0,0,0,0,0,0,0,0,0,7,"NW"
2014,0.29,0,0.43,0.29,0,0,0,0,0,0,0,0,0,0,7,"NW"
2015,0.29,0,0.43,0.29,0,0,0,0,0,0,0,0,0,0,7,"NW"
2016,0.29,0,0.43,0.29,0,0,0,0,0,0,0,0,0,0,7,"NW"
2017,0.29,0,0.29,0.43,0,0,0,0,0,0,0,0,0,0,7,"NW"
2018,0.29,0,0.29,0.43,0,0,0,0,0,0,0,0,0,0,7,"NW"
2019,0.29,0,0.29,0.43,0,0,0,0,0,0,0,0,0,0,7,"NW"
2020,0.29,0,0.29,0.43,0,0,0,0,0,0,0,0,0,0,7,"NW"
2021,0.29,0,0.29,0.43,0,0,0,0,0,0,0,0,0,0,7,"NW"
2022,0.29,0,0.29,0.43,0,0,0,0,0,0,0,0,0,0,7,"NW"
2023,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,0.14,0,7,"NW"
2024,0.29,0,0.14,0.29,0,0,0,0,0,0,0,0,0.14,0,7,"NW"
1887,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1888,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1889,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1890,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1891,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1892,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1893,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1894,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1895,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1896,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1897,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1898,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1899,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1900,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1901,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1902,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1903,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1904,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1905,0,0,0.71,0.14,0.14,0,0,0,0,0,0,0,0,0,7,"GL"
1906,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1907,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1908,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1909,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1910,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1911,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1912,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1913,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1914,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1915,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1916,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1917,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1918,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1919,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1920,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1921,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1922,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1923,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1924,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1925,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1926,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,7,"GL"
1927,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1928,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1929,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1930,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1931,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1932,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1933,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1934,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1935,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1936,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1937,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1938,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1939,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1940,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1941,0,0,0.43,0.14,0.43,0,0,0,0,0,0,0,0,0,7,"GL"
1942,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1943,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1944,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1945,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1946,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1947,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1948,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1949,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1950,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1951,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1952,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1953,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1954,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1955,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1956,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1957,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1958,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1959,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1960,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1961,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1962,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1963,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1964,0,0,0.29,0.14,0.29,0.29,0,0,0,0,0,0,0,0,7,"GL"
1965,0,0,0.29,0.14,0.43,0.14,0,0,0,0,0,0,0,0,7,"GL"
1966,0,0,0.29,0.29,0.29,0.14,0,0,0,0,0,0,0,0,7,"GL"
1967,0,0,0.29,0.29,0.29,0.14,0,0,0,0,0,0,0,0,7,"GL"
1968,0,0,0.29,0.29,0.29,0.14,0,0,0,0,0,0,0,0,7,"GL"
1969,0,0,0.29,0.29,0.29,0.14,0,0,0,0,0,0,0,0,7,"GL"
